video_id,watch time (minutes),viewer_id
s4837,31,55
s294,25,758
s5620,49,966
s5679,11,263
s4405,36,578
s1099,34,9
s6057,26,877
s3772,8,191
s8477,24,76
s1177,37,357
s1566,4,135
s6708,37,673
s173,26,190
s917,22,721
s5342,32,743
s2691,18,83
s7943,34,566
s1249,1,368
s2905,15,185
s4970,18,845
s348,7,363
s405,18,626
s4044,12,644
s8469,20,26
s4093,16,943
s7057,47,116
s2761,43,491
s6029,5,136
s2519,23,490
s4602,9,448
s4225,4,615
s4689,9,751
s1377,36,186
s327,1,842
s8065,45,81
s7572,17,259
s6041,3,247
s6264,34,145
s6486,27,672
s6220,0,9
s1973,37,492
s7206,7,687
s6273,37,759
s7439,30,251
s8259,10,986
s4198,15,453
s6798,47,524
s8288,0,471
s102,36,905
s3185,11,462
s1106,23,762
s8127,41,776
s1704,50,633
s8562,17,398
s7343,21,738
s2077,37,691
s6043,38,512
s3869,15,803
s6359,37,27
s1635,44,648
s1717,35,361
s2330,38,71
s1675,42,908
s1140,32,264
s3271,22,157
s4415,32,539
s270,36,668
s8254,22,211
s7010,10,994
s8388,35,997
s726,34,137
s8363,8,758
s7330,21,190
s4387,47,344
s3117,33,540
s1174,16,840
s6512,2,117
s7914,45,304
s6525,41,880
s6734,26,907
s2674,3,170
s2264,4,235
s1657,47,537
s2902,34,634
s4696,35,117
s4366,40,551
s3194,35,856
s7380,13,710
s4821,26,873
s3389,44,196
s2452,42,888
s7708,31,55
s6435,35,951
s6476,44,710
s1790,47,809
s7935,12,418
s7488,9,560
s8746,29,947
s8107,38,252
s5831,14,178
s144,26,282
s7355,50,462
s8050,46,830
s8103,39,73
s1403,19,891
s3475,31,609
s3746,30,686
s1614,31,51
s1689,42,559
s2636,15,312
s2790,13,710
s4286,26,759
s7025,11,210
s7312,45,897
s154,45,503
s2326,1,550
s803,47,927
s3722,30,330
s4537,38,225
s6790,43,847
s3854,42,546
s8759,44,983
s3065,30,736
s5722,24,368
s5104,17,255
s1865,22,463
s6784,41,405
s3442,20,55
s8143,20,969
s5221,50,527
s1108,6,626
s3364,18,355
s7334,12,450
s4568,27,193
s4225,22,993
s7253,27,750
s6478,2,872
s3855,33,2
s433,3,267
s5871,18,67
s7953,30,97
s7846,8,459
s421,25,6
s3654,38,831
s1210,50,682
s3408,48,32
s6474,6,455
s1191,38,770
s6090,31,138
s5074,14,792
s4012,4,351
s5213,0,595
s7070,46,533
s3981,13,9
s5878,14,599
s4972,41,517
s5729,48,807
s2832,15,43
s398,24,823
s2832,5,258
s1787,2,399
s5902,49,720
s7256,47,794
s2635,1,190
s686,14,802
s6846,15,956
s4630,35,244
s6337,16,600
s5863,32,738
s6836,34,282
s7894,27,998
s8425,27,378
s2016,21,758
s5080,44,906
s6555,16,246
s5308,2,842
s300,12,644
s7489,28,298
s3360,0,842
s5900,36,902
s6178,43,778
s8539,12,837
s7926,35,246
s8004,14,334
s4202,18,502
s3221,37,647
s4879,25,735
s1471,20,711
s1160,7,710
s4517,16,946
s7486,24,582
s3320,15,124
s4672,45,916
s5627,4,116
s2984,47,709
s1089,38,529
s6744,30,119
s8684,17,156
s5237,35,191
s570,13,362
s472,19,359
s3411,9,766
s3246,38,616
s7312,38,815
s2947,9,156
s1535,23,70
s3138,25,94
s2312,23,226
s3914,49,236
s6245,23,674
s5210,30,706
s6945,17,442
s4506,4,856
s1243,40,68
s352,34,754
s6291,15,316
s8719,24,125
s1090,0,572
s4064,10,361
s6886,16,988
s7557,15,310
s6703,42,658
s270,16,191
s7536,48,327
s6596,17,442
s1962,16,343
s2091,17,445
s4081,25,199
s3080,3,740
s2954,29,311
s1352,25,357
s5847,25,476
s2442,35,496
s1708,15,542
s6249,23,633
s4691,2,857
s48,28,360
s8112,33,880
s7403,23,158
s1701,31,521
s4375,44,764
s665,27,251
s7510,34,323
s5043,11,584
s7049,13,719
s8335,34,427
s8725,33,272
s445,30,297
s1352,21,443
s711,44,27
s3135,39,235
s7605,46,175
s282,37,443
s6333,7,896
s8612,32,523
s3940,28,626
s6244,41,450
s2350,42,316
s4775,50,183
s7132,49,865
s889,19,599
s8772,5,761
s605,44,218
s4320,42,824
s4417,50,517
s3301,45,104
s8344,20,817
s1644,17,938
s5733,48,132
s6347,43,272
s4175,44,610
s184,26,305
s6903,40,856
s5363,14,567
s5287,18,871
s4142,34,586
s4376,38,443
s7728,34,682
s5495,31,972
s2167,8,566
s4356,50,135
s2202,38,464
s1473,45,51
s409,37,892
s5558,5,790
s3129,13,203
s1032,17,519
s2235,33,304
s4474,19,866
s6388,40,697
s2329,3,988
s2791,12,314
s4874,13,528
s8105,46,480
s4042,25,810
s6525,42,143
s5291,50,193
s5176,3,478
s1763,46,970
s3012,24,511
s7362,18,55
s2165,19,420
s570,20,733
s7214,16,267
s6451,32,821
s7647,0,337
s4863,17,682
s5682,42,286
s126,26,239
s1998,47,258
s6988,48,284
s5948,3,148
s4894,37,111
s6879,42,424
s6322,43,323
s8465,0,664
s730,8,644
s1325,46,764
s3267,33,235
s5517,25,332
s3636,0,789
s8652,8,382
s8495,17,731
s5265,29,913
s34,36,91
s2782,16,753
s7823,24,916
s4163,11,992
s7810,32,37
s1604,30,870
s1867,50,908
s4202,2,477
s1031,29,762
s4125,32,596
s8413,16,528
s7377,50,460
s8678,50,602
s2215,2,161
s2488,9,358
s1331,45,834
s1249,4,552
s5231,20,745
s7186,43,622
s6116,9,424
s5159,4,466
s7868,29,169
s312,29,56
s3067,36,169
s8233,33,195
s4479,22,49
s2994,29,86
s662,5,169
s5654,23,932
s993,20,826
s7721,2,836
s3049,39,846
s4947,42,88
s6317,26,996
s3549,7,105
s6492,47,861
s5258,2,297
s5013,46,299
s856,18,924
s8567,18,565
s5818,39,529
s1480,5,847
s5592,23,564
s6985,16,504
s2545,29,914
s5340,0,882
s6913,11,544
s4466,14,686
s8485,5,957
s7520,1,599
s4952,37,515
s7488,9,216
s6024,19,370
s4256,23,58
s7747,49,350
s2691,39,830
s2749,45,202
s281,30,65
s2896,39,753
s4390,1,591
s1307,42,463
s7290,19,93
s1093,19,952
s7219,28,344
s5592,20,776
s7485,37,706
s6670,10,44
s1973,10,878
s7706,6,523
s2560,3,989
s5378,24,371
s5071,12,321
s8022,32,24
s948,48,725
s5086,49,157
s2245,49,438
s1212,4,59
s2441,4,692
s6830,16,592
s2072,30,513
s3942,28,907
s1023,45,740
s3194,14,671
s5178,4,758
s4195,4,970
s1051,6,628
s2963,40,680
s1893,32,273
s2784,50,63
s8374,46,556
s1052,5,429
s7085,19,415
s5332,32,318
s7463,25,892
s4786,30,425
s3181,12,126
s6471,50,667
